,home_team,away_team,home_shots_prop,away_shots_prop,home_corsi_prop,away_corsi_prop,home_fenwick_prop,away_fenwick_prop,home_penalties_prop,away_penalties_prop,home_hits_prop,away_hits_prop,home_takeaways_prop,away_takeaways_prop,game_end
1202,Detroit Red Wings,Colorado Avalanche,0.5862068965517241,0.39655172413793105,0.5145631067961165,0.47572815533980584,0.5443037974683544,0.4430379746835443,0.4444444444444444,0.4444444444444444,0.6071428571428571,0.35714285714285715,0.7142857142857143,0.14285714285714285,away win
1203,Minnesota Wild,Boston Bruins,0.44285714285714284,0.5428571428571428,0.46153846153846156,0.5299145299145299,0.46875,0.5208333333333334,0.4166666666666667,0.5,0.34782608695652173,0.6304347826086957,0.6,0.3,away win
1204,Nashville Predators,Winnipeg Jets,0.36363636363636365,0.6181818181818182,0.4144144144144144,0.5765765765765766,0.35443037974683544,0.6329113924050633,0.6666666666666666,0.2222222222222222,0.3728813559322034,0.6101694915254238,0.5384615384615384,0.38461538461538464,away win
1205,Seattle Kraken,Edmonton Oilers,0.6065573770491803,0.3770491803278688,0.5660377358490566,0.42452830188679247,0.5977011494252874,0.39080459770114945,0.5,0.4,0.5853658536585366,0.3902439024390244,0.4230769230769231,0.5384615384615384,away win
1206,Philadelphia Flyers,Carolina Hurricanes,0.4852941176470588,0.5,0.5254237288135594,0.4661016949152542,0.44565217391304346,0.5434782608695652,0.16666666666666666,0.6666666666666666,0.6041666666666666,0.375,0.4444444444444444,0.4444444444444444,away win
1207,Florida Panthers,New Jersey Devils,0.5324675324675324,0.45454545454545453,0.4789915966386555,0.5126050420168067,0.5257731958762887,0.4639175257731959,0.2857142857142857,0.5714285714285714,0.65,0.3333333333333333,0.625,0.25,home win
1208,Tampa Bay Lightning,Montréal Canadiens,0.6507936507936508,0.3333333333333333,0.5526315789473685,0.43859649122807015,0.6436781609195402,0.3448275862068966,0.4,0.4,0.3448275862068966,0.6379310344827587,0.59375,0.375,home win
1209,Ottawa Senators,Toronto Maple Leafs,0.61,0.38,0.6012269938650306,0.39263803680981596,0.6456692913385826,0.3464566929133858,0.3333333333333333,0.5,0.5666666666666667,0.4166666666666667,0.7777777777777778,0.1111111111111111,away win
1210,New York Rangers,Pittsburgh Penguins,0.41379310344827586,0.5689655172413793,0.4444444444444444,0.5462962962962963,0.3924050632911392,0.5949367088607594,0.46153846153846156,0.46153846153846156,0.4074074074074074,0.5555555555555556,0.6666666666666666,0.2916666666666667,home win
1211,Los Angeles Kings,Vancouver Canucks,0.6721311475409836,0.3114754098360656,0.5702479338842975,0.4214876033057851,0.6373626373626373,0.3516483516483517,0.2,0.6,0.34,0.64,0.3333333333333333,0.5833333333333334,away win
1212,Calgary Flames,Dallas Stars,0.5846153846153846,0.4,0.5517241379310345,0.4396551724137931,0.5730337078651685,0.4157303370786517,0.6,0.2,0.5,0.48,0.5,0.4375,away win
1213,Arizona Coyotes,Chicago Blackhawks,0.375,0.6071428571428571,0.44761904761904764,0.5428571428571428,0.375,0.6125,0.5555555555555556,0.3333333333333333,0.5454545454545454,0.43636363636363634,0.45454545454545453,0.45454545454545453,home win
1214,San Jose Sharks,New York Islanders,0.46875,0.515625,0.4322033898305085,0.559322033898305,0.43529411764705883,0.5529411764705883,0.6,0.3,0.5897435897435898,0.38461538461538464,0.42857142857142855,0.5,away win
1215,Buffalo Sabres,Boston Bruins,0.5,0.4807692307692308,0.5052631578947369,0.4842105263157895,0.55,0.4375,0.4166666666666667,0.5,0.4857142857142857,0.4857142857142857,0.3157894736842105,0.631578947368421,away win
1216,Minnesota Wild,Washington Capitals,0.5194805194805194,0.4675324675324675,0.543859649122807,0.4473684210526316,0.5425531914893617,0.44680851063829785,0.4444444444444444,0.5,0.30952380952380953,0.6666666666666666,0.4,0.5,home win
1217,Vegas Golden Knights,Columbus Blue Jackets,0.5189873417721519,0.46835443037974683,0.5203252032520326,0.4715447154471545,0.5054945054945055,0.4835164835164835,0.4,0.4,0.32075471698113206,0.660377358490566,0.5882352941176471,0.35294117647058826,home win
1218,St. Louis Blues,Winnipeg Jets,0.3269230769230769,0.6538461538461539,0.4158415841584158,0.5742574257425742,0.33766233766233766,0.6493506493506493,0.5,0.4375,0.5454545454545454,0.42424242424242425,0.4,0.56,home win
1219,New York Rangers,Nashville Predators,0.5964912280701754,0.38596491228070173,0.6019417475728155,0.3883495145631068,0.5972222222222222,0.3888888888888889,0.2857142857142857,0.5714285714285714,0.34375,0.625,0.6842105263157895,0.2631578947368421,home win
1220,Tampa Bay Lightning,New Jersey Devils,0.375,0.609375,0.46825396825396826,0.5238095238095238,0.45161290322580644,0.5376344086021505,0.16666666666666666,0.6666666666666666,0.6111111111111112,0.3611111111111111,0.4230769230769231,0.5384615384615384,away win
1221,Anaheim Ducks,Vancouver Canucks,0.3050847457627119,0.6779661016949152,0.375,0.6153846153846154,0.34146341463414637,0.6463414634146342,0.5,0.375,0.44,0.52,0.4444444444444444,0.4444444444444444,away win
1222,Pittsburgh Penguins,Ottawa Senators,0.6901408450704225,0.29577464788732394,0.5555555555555556,0.4375,0.6363636363636364,0.35353535353535354,0.3333333333333333,0.5,0.4393939393939394,0.5454545454545454,0.4444444444444444,0.4444444444444444,away win
1223,Detroit Red Wings,Florida Panthers,0.4583333333333333,0.5208333333333334,0.47959183673469385,0.5102040816326531,0.45569620253164556,0.5316455696202531,0.5,0.3333333333333333,0.5121951219512195,0.4634146341463415,0.625,0.25,away win
1224,Colorado Avalanche,Chicago Blackhawks,0.5333333333333333,0.45,0.5132743362831859,0.4778761061946903,0.5301204819277109,0.4578313253012048,0.5,0.25,0.39473684210526316,0.5789473684210527,0.5,0.4375,home win
1225,Edmonton Oilers,San Jose Sharks,0.611764705882353,0.3764705882352941,0.6060606060606061,0.38636363636363635,0.6509433962264151,0.33962264150943394,0.3333333333333333,0.5,0.41818181818181815,0.5636363636363636,0.3181818181818182,0.6363636363636364,home win
1226,Los Angeles Kings,Calgary Flames,0.6724137931034483,0.3103448275862069,0.5631067961165048,0.42718446601941745,0.5657894736842105,0.42105263157894735,0.36363636363636365,0.5454545454545454,0.42592592592592593,0.5555555555555556,0.6363636363636364,0.2727272727272727,home win
1227,New York Rangers,Carolina Hurricanes,0.43661971830985913,0.5492957746478874,0.4732142857142857,0.5178571428571429,0.43333333333333335,0.5555555555555556,0.2,0.6,0.6296296296296297,0.3333333333333333,0.631578947368421,0.3157894736842105,away win
1228,Washington Capitals,Columbus Blue Jackets,0.4805194805194805,0.5064935064935064,0.5255474452554745,0.46715328467153283,0.5392156862745098,0.45098039215686275,0.4,0.4,0.375,0.5833333333333334,0.5,0.4166666666666667,away win
1229,Philadelphia Flyers,Florida Panthers,0.34782608695652173,0.6376811594202898,0.43548387096774194,0.5564516129032258,0.3368421052631579,0.6526315789473685,0.6,0.3,0.5,0.4772727272727273,0.5,0.45,home win
1230,New Jersey Devils,Minnesota Wild,0.6153846153846154,0.3717948717948718,0.5100671140939598,0.48322147651006714,0.5405405405405406,0.45045045045045046,0.2,0.6,0.36666666666666664,0.6,0.6,0.3,away win
1231,Buffalo Sabres,Nashville Predators,0.5254237288135594,0.4576271186440678,0.5377358490566038,0.4528301886792453,0.5393258426966292,0.449438202247191,0.4,0.5,0.5277777777777778,0.4444444444444444,0.3,0.65,away win
1232,Boston Bruins,Ottawa Senators,0.45454545454545453,0.5324675324675324,0.44776119402985076,0.5447761194029851,0.46,0.53,0.375,0.5,0.4716981132075472,0.5094339622641509,0.5789473684210527,0.3684210526315789,home win
1233,Montréal Canadiens,Tampa Bay Lightning,0.37037037037037035,0.6111111111111112,0.5145631067961165,0.47572815533980584,0.44,0.5466666666666666,0.42857142857142855,0.42857142857142855,0.5405405405405406,0.43243243243243246,0.4117647058823529,0.5294117647058824,home win
1234,New York Islanders,Toronto Maple Leafs,0.5087719298245614,0.47368421052631576,0.5094339622641509,0.4811320754716981,0.44871794871794873,0.5384615384615384,0.3333333333333333,0.5,0.6923076923076923,0.28846153846153844,0.42857142857142855,0.42857142857142855,home win
1235,Winnipeg Jets,Arizona Coyotes,0.44642857142857145,0.5357142857142857,0.5094339622641509,0.4811320754716981,0.525,0.4625,0.36363636363636365,0.5454545454545454,0.5581395348837209,0.4186046511627907,0.7058823529411765,0.23529411764705882,home win
1236,St. Louis Blues,Detroit Red Wings,0.41379310344827586,0.5689655172413793,0.45132743362831856,0.5398230088495575,0.4235294117647059,0.5647058823529412,0.42857142857142855,0.42857142857142855,0.5882352941176471,0.38235294117647056,0.34615384615384615,0.6153846153846154,away win
1237,Dallas Stars,Seattle Kraken,0.5087719298245614,0.47368421052631576,0.45689655172413796,0.5344827586206896,0.48314606741573035,0.5056179775280899,0.2857142857142857,0.5714285714285714,0.6060606060606061,0.36363636363636365,0.3333333333333333,0.6190476190476191,away win
1238,Anaheim Ducks,Calgary Flames,0.3125,0.671875,0.37962962962962965,0.6111111111111112,0.3695652173913043,0.6195652173913043,0.5555555555555556,0.3333333333333333,0.391304347826087,0.5652173913043478,0.25,0.625,away win
1239,Vancouver Canucks,Vegas Golden Knights,0.5483870967741935,0.43548387096774194,0.5321100917431193,0.45871559633027525,0.5301204819277109,0.4578313253012048,0.5555555555555556,0.3333333333333333,0.660377358490566,0.32075471698113206,0.5454545454545454,0.36363636363636365,away win
1240,Colorado Avalanche,Pittsburgh Penguins,0.39473684210526316,0.5921052631578947,0.43478260869565216,0.5579710144927537,0.41904761904761906,0.5714285714285714,0.5,0.4,0.625,0.34375,0.29411764705882354,0.6470588235294118,away win
1241,Edmonton Oilers,Arizona Coyotes,0.6326530612244898,0.3469387755102041,0.5955056179775281,0.39325842696629215,0.6617647058823529,0.3235294117647059,0.2857142857142857,0.5714285714285714,0.4716981132075472,0.5094339622641509,0.5238095238095238,0.42857142857142855,home win
1242,Philadelphia Flyers,Minnesota Wild,0.578125,0.40625,0.4878048780487805,0.5040650406504065,0.5212765957446809,0.46808510638297873,0.6,0.2,0.42592592592592593,0.5555555555555556,0.6666666666666666,0.2222222222222222,home win
1243,Washington Capitals,Chicago Blackhawks,0.49122807017543857,0.49122807017543857,0.49557522123893805,0.49557522123893805,0.4883720930232558,0.5,0.5,0.4,0.38235294117647056,0.5882352941176471,0.5,0.4166666666666667,home win
1244,Boston Bruins,Montréal Canadiens,0.39622641509433965,0.5849056603773585,0.38461538461538464,0.6057692307692307,0.35714285714285715,0.6309523809523809,0.4666666666666667,0.4666666666666667,0.4727272727272727,0.509090909090909,0.3333333333333333,0.6190476190476191,home win
1245,Carolina Hurricanes,New York Rangers,0.6382978723404256,0.3404255319148936,0.5416666666666666,0.4479166666666667,0.6338028169014085,0.352112676056338,0.42857142857142855,0.42857142857142855,0.5365853658536586,0.43902439024390244,0.5,0.42857142857142855,away win
