,Unnamed: 0,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x,home_mean_y,away_mean_y,home_penalties,away_penalties,home_hits,away_hits,home_takeaways,away_takeaways
115,115,2022-10-13,2022020009,Anaheim Ducks,5,Seattle Kraken,4,20222023,Final,27,48,74,48,32,62,-7.3931623931623935,-8.865671641791044,-4.9914529914529915,-2.1865671641791047,6,4,15,22,6,4
116,116,2022-10-13,2022020010,Edmonton Oilers,5,Vancouver Canucks,3,20222023,Final,25,36,64,48,32,47,14.414012738853502,0.6903225806451613,1.4458598726114649,-1.1935483870967742,8,4,39,31,11,9
117,117,2022-10-13,2022020011,Pittsburgh Penguins,6,Arizona Coyotes,2,20222023,Final,53,28,42,81,66,33,-1.3151515151515152,2.096,1.1575757575757575,4.6,6,7,30,35,4,9
118,118,2022-10-13,2022020012,Philadelphia Flyers,5,New Jersey Devils,2,20222023,Final,25,37,64,63,35,55,1.818840579710145,7.6223776223776225,0.5652173913043478,-0.4195804195804196,4,4,28,18,2,6
119,119,2022-10-13,2022020013,Buffalo Sabres,4,Ottawa Senators,1,20222023,Final,36,36,51,56,45,41,3.1634615384615383,-9.073394495412844,-0.16346153846153846,1.5596330275229358,4,4,9,18,4,6
120,120,2022-10-13,2022020014,New York Islanders,1,Florida Panthers,3,20222023,Final,33,29,56,74,49,43,16.419354838709676,16.737704918032787,1.8279569892473118,0.5163934426229508,6,4,37,15,8,5
121,121,2022-10-13,2022020015,Toronto Maple Leafs,3,Washington Capitals,2,20222023,Final,39,26,55,66,49,46,4.2024539877300615,1.99290780141844,-1.4539877300613497,1.7730496453900708,5,3,37,33,10,10
122,122,2022-10-14,2022020017,Minnesota Wild,3,New York Rangers,7,20222023,Final,36,35,54,62,49,41,5.231343283582089,3.39344262295082,-0.44029850746268656,0.9180327868852459,8,7,20,27,9,4
123,123,2022-10-14,2022020016,Nashville Predators,1,Dallas Stars,4,20222023,Final,32,29,57,48,41,40,5.432624113475177,10.07246376811594,2.3617021276595747,-0.30434782608695654,5,6,45,30,7,8
124,124,2022-10-14,2022020018,Calgary Flames,5,Colorado Avalanche,3,20222023,Final,27,25,54,47,37,39,-8.804347826086957,-3.761904761904762,-2.579710144927536,-0.753968253968254,6,7,26,17,11,9
125,125,2022-10-14,2022020019,Vegas Golden Knights,1,Chicago Blackhawks,0,20222023,Final,37,27,56,71,52,34,-4.333333333333333,2.783783783783784,3.4930555555555554,0.9932432432432432,2,3,20,41,12,10
126,126,2022-10-14,2022020020,Los Angeles Kings,1,Seattle Kraken,4,20222023,Final,27,22,48,48,39,33,-0.17054263565891473,-6.606060606060606,-3.89922480620155,1.1136363636363635,9,8,28,44,2,2
127,127,2022-10-14,2022020021,Columbus Blue Jackets,2,Tampa Bay Lightning,5,20222023,Final,28,39,57,53,40,53,-1.544,-19.28712871287129,2.328,1.1287128712871286,2,4,22,18,3,2
128,128,2022-10-14,2022020022,Detroit Red Wings,3,Montréal Canadiens,0,20222023,Final,40,29,47,65,49,31,-10.576158940397349,5.744,0.019867549668874173,0.6,3,3,38,24,6,3
129,129,2022-10-15,2022020023,Winnipeg Jets,4,New York Rangers,1,20222023,Final,34,41,75,60,47,57,-8.621621621621621,-17.785714285714285,1.885135135135135,2.487012987012987,2,3,28,25,12,3
130,130,2022-10-15,2022020024,San Jose Sharks,1,Carolina Hurricanes,2,20222023,Final,19,35,55,46,24,46,8.936936936936934,-0.75,-2.981981981981982,0.0,4,6,15,11,11,17
131,131,2022-10-15,2022020025,Buffalo Sabres,3,Florida Panthers,4,20222023,Final,27,37,64,46,33,54,10.603603603603604,-2.5083333333333333,-3.684684684684685,-3.091666666666667,8,6,12,11,9,4
