,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x
79,2022-10-05,2022010079,Vegas Golden Knights,4,Arizona Coyotes,3,20222023,Final,28,53,72,56,42,64,-3.798611111111111,3.418300653594771
80,2022-10-05,2022010080,Anaheim Ducks,5,Los Angeles Kings,4,20222023,Final,32,36,57,60,48,44,5.887931034482759,-0.8852459016393442
81,2022-10-05,2022010081,New York Rangers,4,Boston Bruins,5,20222023,Final,32,26,47,48,41,39,2.452991452991453,11.6
82,2022-10-05,2022010082,Washington Capitals,4,Detroit Red Wings,2,20222023,Final,35,33,53,53,47,40,-5.227941176470588,9.356521739130434
83,2022-10-06,2022010083,Winnipeg Jets,5,Calgary Flames,0,20222023,Final,27,37,62,48,31,51,-7.741379310344827,1.1076923076923078
84,2022-10-06,2022010084,Colorado Avalanche,2,Dallas Stars,1,20222023,Final,33,33,52,61,47,42,-10.312056737588652,0.30973451327433627
85,2022-10-06,2022010085,Vancouver Canucks,5,Edmonton Oilers,4,20222023,Final,5,4,4,5,5,4,,
86,2022-10-06,2022010086,Montréal Canadiens,3,Ottawa Senators,4,20222023,Final,3,4,4,3,3,4,,
87,2022-10-06,2022010087,New York Islanders,5,New Jersey Devils,2,20222023,Final,26,28,56,48,36,37,11.059259259259258,3.4656488549618323
88,2022-10-06,2022010089,Florida Panthers,3,Tampa Bay Lightning,2,20222023,Final,41,28,52,59,51,36,-6.433333333333334,-6.68595041322314
89,2022-10-06,2022010088,Columbus Blue Jackets,7,St. Louis Blues,0,20222023,Final,33,24,46,51,45,33,9.297297297297296,-18.632183908045977
90,2022-10-07,2022010090,Minnesota Wild,4,Chicago Blackhawks,1,20222023,Final,23,26,41,39,28,35,-15.23,-5.733333333333333
91,2022-10-07,2022010091,Los Angeles Kings,4,Vegas Golden Knights,6,20222023,Final,4,6,6,4,4,6,,
92,2022-10-07,2022020001,Nashville Predators,4,San Jose Sharks,1,20222023,Final,32,31,69,57,46,46,-6.877049180327869,8.062937062937063
93,2022-10-07,2022010092,Pittsburgh Penguins,7,Buffalo Sabres,1,20222023,Final,27,23,46,39,30,32,3.5080645161290325,6.537037037037037
94,2022-10-07,2022010093,Detroit Red Wings,4,Toronto Maple Leafs,2,20222023,Final,27,23,42,48,40,31,3.507936507936508,-7.030927835051546
95,2022-10-08,2022010094,Edmonton Oilers,5,Seattle Kraken,3,20222023,Final,40,33,64,59,52,46,9.447552447552448,-8.055555555555555
96,2022-10-08,2022010095,Calgary Flames,3,Winnipeg Jets,5,20222023,Final,38,16,35,52,44,27,-5.198529411764706,6.483516483516484
97,2022-10-08,2022010096,Vancouver Canucks,4,Arizona Coyotes,0,20222023,Final,32,7,31,53,47,14,-7.6581196581196584,-3.2323232323232323
98,2022-10-08,2022020002,San Jose Sharks,2,Nashville Predators,3,20222023,Final,33,18,56,60,44,33,17.705882352941178,19.136986301369863
99,2022-10-08,2022010106,St. Louis Blues,6,Chicago Blackhawks,0,20222023,Final,25,24,41,39,32,33,-2.350515463917526,-2.303921568627451
100,2022-10-08,2022010098,Los Angeles Kings,6,Anaheim Ducks,3,20222023,Final,36,28,47,59,53,39,-12.447761194029852,17.872549019607842
101,2022-10-08,2022010097,Tampa Bay Lightning,5,Florida Panthers,2,20222023,Final,31,29,40,53,41,35,2.623076923076923,2.19672131147541
102,2022-10-08,2022010100,Minnesota Wild,5,Dallas Stars,1,20222023,Final,28,23,55,47,37,41,-12.801980198019802,2.356521739130435
103,2022-10-08,2022010099,Ottawa Senators,3,Montréal Canadiens,2,20222023,Final,3,2,2,3,3,2,,
104,2022-10-08,2022010101,Washington Capitals,4,Columbus Blue Jackets,3,20222023,Final,32,39,72,60,40,53,-2.7355371900826446,1.048951048951049
105,2022-10-08,2022010102,Toronto Maple Leafs,5,Detroit Red Wings,1,20222023,Final,26,19,45,41,35,28,-4.711864406779661,7.689075630252101
106,2022-10-08,2022010103,Boston Bruins,3,New Jersey Devils,5,20222023,Final,30,27,47,55,45,36,-2.798611111111111,-13.298076923076923
107,2022-10-08,2022010104,New York Islanders,3,New York Rangers,1,20222023,Final,16,29,56,32,21,39,-5.330357142857143,-8.921259842519685
108,2022-10-09,2022010105,Vegas Golden Knights,5,Arizona Coyotes,1,20222023,Final,5,1,1,5,5,1,,
109,2022-10-11,2022020003,New York Rangers,3,Tampa Bay Lightning,1,20222023,Final,39,26,56,61,49,34,-8.64968152866242,5.19327731092437
110,2022-10-12,2022020004,Los Angeles Kings,3,Vegas Golden Knights,4,20222023,Final,30,51,72,65,43,59,1.2413793103448276,6.888888888888889
111,2022-10-12,2022020005,Washington Capitals,2,Boston Bruins,5,20222023,Final,35,30,58,59,46,38,-5.955128205128205,-9.565517241379311
112,2022-10-12,2022020006,Carolina Hurricanes,4,Columbus Blue Jackets,1,20222023,Final,43,32,64,83,74,42,-6.031914893617022,6.160839160839161
113,2022-10-12,2022020007,Montréal Canadiens,4,Toronto Maple Leafs,3,20222023,Final,23,32,55,58,35,40,-0.3381294964028777,0.0873015873015873
114,2022-10-13,2022020008,Colorado Avalanche,5,Chicago Blackhawks,2,20222023,Final,35,17,37,58,46,22,-8.21951219512195,-14.991228070175438
